"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0000003",0.171568715207063,-1.02604541037965,3.80550342492604,-0.269621465496276,0.78745148465844,NA
"FBgn0000008",95.1440789963134,-0.00215142369339855,0.223883804720959,-0.00960955481384646,0.992332802580721,0.996927101171911
"FBgn0000014",1.05657219346166,0.496735568493163,2.16026425849837,0.229942039053338,0.818136808985392,NA
"FBgn0000015",0.846723274987709,1.8827617024455,2.1064322338142,0.893815463047823,0.371420634388915,NA
"FBgn0000017",4352.5928987935,0.240025230003138,0.126024321556269,1.90459450238714,0.0568328017794253,0.282361134015959
"FBgn0000018",418.614930505122,0.104799112236762,0.148280289962918,0.706763604677129,0.479713395580599,0.823907261951573
"FBgn0000022",0.0796749105101128,0.719763685204582,3.81458895662518,0.188687088802713,0.850338071459213,NA
"FBgn0000024",6.40628919476961,-0.210807084219817,0.690348536133397,-0.305363266793518,0.760089495378152,NA
"FBgn0000028",0.438900024085017,-1.4142147107607,2.77952373212081,-0.508797494483572,0.610894175807192,NA
"FBgn0000032",989.730032286706,0.0919050485189279,0.147697433794496,0.622252168895522,0.533776067172844,0.849773949326623
"FBgn0000036",0.589596332729872,0.0654492210860497,2.30477082787974,0.028397279371268,0.977345294074925,NA
"FBgn0000037",14.0948138653578,-0.463068060151127,0.49140258254399,-0.94233949230349,0.346018855066056,0.740909423903985
"FBgn0000038",0,NA,NA,NA,NA,NA
"FBgn0000039",0.438900024085017,-1.4142147107607,2.77952373212081,-0.508797494483572,0.610894175807192,NA
"FBgn0000042",82207.7246355838,-0.314524848355443,0.140541527905049,-2.23794954447869,0.0252243456124596,0.164531527063089
"FBgn0000043",31162.0800981548,-0.619578732154977,0.123317574125114,-5.02425332764309,5.05394909293333e-07,1.72393517624935e-05
"FBgn0000044",27.0142162829088,-0.414972810160749,0.414720947406562,-1.00060730656544,0.317016696287566,0.719312526989032
"FBgn0000045",6.49768786824646,-0.152661935180837,0.713899929798214,-0.213842205060851,0.830670111251529,NA
"FBgn0000046",23.6865655871929,-0.604238547671245,0.461037057233028,-1.31060733229919,0.189990460730208,0.569014251406089
"FBgn0000047",9.27446768376142,-0.682066956502575,0.658141000210039,-1.03635384558157,0.300037094251305,0.702842677517152
"FBgn0000052",2342.87838063352,0.135495999150006,0.136696700558132,0.991216310245789,0.321579967987072,0.721371474992396
"FBgn0000053",2100.27876868186,-0.296060124559037,0.137257340696281,-2.15697115401755,0.0310079120956184,0.189346186626436
"FBgn0000054",654.288209497534,0.119920698613297,0.118496314252885,1.01202049506259,0.31152825413112,0.713127135111095
"FBgn0000055",0.087343676946538,-0.900294226591478,3.81016488296462,-0.236287471604372,0.813209607942473,NA
"FBgn0000056",0,NA,NA,NA,NA,NA
"FBgn0000057",682.648317882294,0.0235498507924822,0.121581340900129,0.193696258143978,0.846413721926767,0.963157296464077
